ind,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply,TotalCoinSupply_orig,sort_orig
XG,XG Sports,XG Hash,TRUE,PoW/PoS,,0,0.00,258
CHILD,ChildCoin,X11,TRUE,PoW,,2000000,2000000.00,259
MINE,Instamine Nuggets,Scrypt,TRUE,PoW,,21649485,21649485.00,260
ROS,ROS Coin,X11,TRUE,PoW/PoS,,0,0.00,261
UNAT,Unattanium,SHA-256,TRUE,PoW,0,0,0.00,262
GAIA,GAIA Platform,X11,TRUE,PoS,,24000000,24000000.00,263
XCN,Cryptonite,M7 POW,TRUE,PoW,708506520,1840000000,1840000000.00,264
GMC,Gridmaster,Scrypt,TRUE,PoW,0,84000000,84000000.00,265
MMC,MemoryCoin,Multiple,TRUE,PoW,,10000000,10000000.00,266
CYC,ConSpiracy Coin ,X11,TRUE,PoW,0,33000000,33000000.00,267
MSC,MasterCoin,Scrypt,TRUE,PoW,619478,619478,619478.00,268
EGG,EggCoin,Scrypt,TRUE,PoW/PoS,,3891,3891.00,269
CAMC,Camcoin,X11,FALSE,PoW/PoS,,10000000,10000000.00,270
RBR,Ribbit Rewards,Multiple,TRUE,PoW,,1000000000,1000000000.00,271
ICASH,ICASH,X11,TRUE,PoW,,1000000,1000000.00,272
NODE,Node,Curve25519,TRUE,PoA,,1000000000,1000000000.00,273
SOON,SoonCoin,SHA-256,TRUE,PoW,12462620,21000000,21000000.00,274
BTMI,BitMiles,Scrypt,TRUE,PoW,,4832660000,4832660000.00,275
EVENT,Event Token,Scrypt,TRUE,PoW/PoS,,0,0.00,276
1CR,1Credit,Scrypt,TRUE,PoW,88213,92000000000,92000000000.00,277
VIOR,ViorCoin,Scrypt,TRUE,PoW/PoS,0,0,0.00,278
VMC,VirtualMining Coin,Scrypt-n,TRUE,PoW,,1000000,1000000.00,279
MARSC,MarsCoin,X11,FALSE,PoW,,33000000,33000000.00,280
EQM,Equilibrium Coin,SHA-256,TRUE,PoW/PoS,,0,0.00,281
ISL,IslaCoin,X11,TRUE,PoW/PoS,1513704,0,0.00,282
QSLV,Quicksilver coin,X11,TRUE,PoW,0,33000000,33000000.00,283
XNA,DeOxyRibose,X11,TRUE,PoS,,0,0.00,284
SKB,SkullBuzz,SHA-256,TRUE,PoS,,0,0.00,285
FCS,CryptoFocus,X11,TRUE,PoW/PoS,,0,0.00,286
NXS,Nexus,SHA3,TRUE,PoW/nPoS,63657220,78000000,78000000.00,287
EAGS,EagsCoin,X11,TRUE,PoW/PoS,,20445500,20445500.00,288
MWC,MultiWallet Coin,X11,TRUE,PoW/PoS,,0,0.00,289
MARS,MarsCoin ,X11,TRUE,PoW,32221574.82,33000000,33000000.00,290
XMS,Megastake,X11,TRUE,PoW/PoS,,0,0.00,291
SIGU,Singular,Scrypt,TRUE,PoW/PoS,0,0,0.00,292
M1,SupplyShock,X13,TRUE,PoW/PoS,,0,0.00,293
DB,DarkBit,Scrypt,TRUE,PoW/PoS,,0,0.00,294
CTO,Crypto,Lyra2RE,TRUE,PoW,13742738,65789100,65789100.00,295
BITL,BitLux,X11,FALSE,PoW/PoS,,0,0.00,296
FUTC,FutCoin,X13,TRUE,PoW/PoS,,0,0.00,297
TAM,TamaGucci,Scrypt,TRUE,PoW/PoS/PoC,,5300000,5300000.00,298
MRP,MorpheusCoin,X11,TRUE,PoW,,3400000,3400000.00,299
XFC,Forever Coin,X11,TRUE,PoS,,210000000,210000000.00,300
